City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,0.85,93,40,5.66,CA,1693630825
1,ancud,-41.8697,-73.8203,8.47,64,49,4.39,CL,1693630819
2,carnot,4.9409,15.8665,19.88,98,100,0.65,CF,1693630827
3,talnakh,69.4865,88.3972,10.12,44,100,0.81,RU,1693630828
4,saudarkrokur,65.7461,-19.6394,14.29,76,100,10.05,IS,1693630830
5,ouadda,8.0777,22.4007,20.47,96,18,0.92,CF,1693630830
6,susuman,62.7833,148.1667,-0.04,91,100,2.6,RU,1693630831
7,ilulissat,69.2167,-51.1,3.01,81,100,7.2,GL,1693630832
8,santyoku,37.4406,129.1708,26.3,64,99,2.69,KR,1693630833
9,east london,-33.0153,27.9116,12.52,94,100,4.63,ZA,1693630835
10,port elizabeth,-33.918,25.5701,13.16,62,100,3.09,ZA,1693630836
11,praia da vitoria,38.7333,-27.0667,21.14,94,20,2.21,PT,1693630838
12,bilibino,68.0546,166.4372,1.28,96,100,2.64,RU,1693630839
13,blackmans bay,-43.0167,147.3167,13.07,68,35,2.4,AU,1693630840
14,villa gesell,-37.2639,-56.973,12.81,87,100,2.15,AR,1693630840
15,puerto natales,-51.7236,-72.4875,-3.41,96,30,1.87,CL,1693630840
16,hermanus,-34.4187,19.2345,9.11,75,13,3.35,ZA,1693630841
17,nova vicosa,-17.8919,-39.3719,21.66,83,65,0.93,BR,1693630841
18,lihue,21.9789,-159.3672,26.77,75,100,6.69,US,1693630842
19,ust-tsilma,65.441,52.1498,16.68,61,27,1.85,RU,1693630842
20,dhidhdhoo,6.8833,73.1,26.85,82,100,5.37,MV,1693630843
21,adamstown,-25.066,-130.1015,18.64,86,100,9.25,PN,1693630843
22,phongsali,21.6833,102.1058,28.54,36,63,1.44,LA,1693630844
23,ushuaia,-54.8,-68.3,0.81,80,40,6.69,AR,1693630844
24,la ronge,55.1001,-105.2842,20.14,68,100,4.12,CA,1693630844
25,tabuk,17.4189,121.4443,28.62,85,100,1.02,PH,1693630845
26,al jawf,29.5,38.75,28.07,24,0,2.55,SA,1693630845
27,la cruz,23.9167,-106.9,26.15,89,70,3.31,MX,1693630845
28,piriapolis,-34.8682,-55.2744,17.23,89,100,1.03,UY,1693630846
29,grytviken,-54.2811,-36.5092,1.32,93,100,4.66,GS,1693630846
30,bethel,41.3712,-73.414,15.68,84,0,1.21,US,1693630847
31,isangel,-19.55,169.2667,25.06,83,75,2.57,VU,1693630847
32,tazovsky,67.4667,78.7,9.99,47,97,1.88,RU,1693630526
33,waitangi,-43.9535,-176.5597,12.12,90,99,2.24,NZ,1693630848
34,port-aux-francais,-49.35,70.2167,1.25,96,100,7.37,TF,1693630849
35,bayeux,-7.125,-34.9322,23.35,94,20,1.54,BR,1693630849
36,papatowai,-46.5619,169.4708,10.52,86,100,0.88,NZ,1693630849
37,bengkulu,-3.8004,102.2655,27.72,67,16,4.46,ID,1693630850
38,morrope,-6.5417,-80.0111,21.06,89,22,4.12,PE,1693630850
39,bredasdorp,-34.5322,20.0403,5.31,80,1,3.15,ZA,1693630851
40,hithadhoo,-0.6,73.0833,26.72,83,100,7.09,MV,1693630851
41,arteche,12.2645,125.4048,33.14,52,100,4.85,PH,1693630852
42,wailua homesteads,22.0669,-159.378,26.44,75,100,6.69,US,1693630852
43,luanda,-8.8368,13.2343,21.0,94,75,1.03,AO,1693630658
44,puerto ayora,-0.7393,-90.3518,24.19,92,77,2.68,EC,1693630853
45,kailua-kona,19.6406,-155.9956,28.98,76,40,3.6,US,1693630631
46,edinburgh of the seven seas,-37.0676,-12.3116,10.12,57,100,4.12,SH,1693630853
47,enewetak,11.3474,162.3373,29.15,75,63,5.56,MH,1693630854
48,barranca,-10.75,-77.7667,18.19,84,44,5.9,PE,1693630854
49,tiksi,71.6872,128.8694,6.57,56,100,4.83,RU,1693630854
50,jabor,5.921,169.6434,28.45,71,55,3.23,MH,1693630855
51,enriquillo,17.9,-71.2333,25.39,92,1,2.1,DO,1693630855
52,kimbe,-5.5502,150.1429,31.85,47,77,4.42,PG,1693630856
53,menaka,15.9182,2.4022,24.47,83,100,13.18,ML,1693630856
54,yellowknife,62.456,-114.3525,14.67,95,100,1.34,CA,1693630856
55,hawaiian paradise park,19.5933,-154.9731,25.73,85,100,5.14,US,1693630577
56,isafjordur,66.0755,-23.124,12.4,78,83,5.38,IS,1693630857
57,port mathurin,-19.6833,63.4167,22.59,77,1,11.08,MU,1693630857
58,monrovia,6.3005,-10.7969,24.87,96,100,4.81,LR,1693630858
59,college,64.8569,-147.8028,12.99,83,20,7.72,US,1693630858
60,chonchi,-42.6128,-73.8092,3.95,94,29,1.71,CL,1693630859
61,masterton,-40.9597,175.6575,14.94,78,33,1.68,NZ,1693630859
